a,b,c,d,e,f
-1.892389238923892236e+01,nan,nan,nan,nan,nan
-1.891989198919891990e+01,nan,nan,nan,nan,nan
-1.891589158915891744e+01,nan,nan,nan,nan,nan
-1.891189118911891143e+01,nan,nan,nan,nan,nan
-1.890789078907890897e+01,nan,nan,nan,nan,nan
-1.890389038903890295e+01,nan,nan,nan,nan,nan
-1.889988998899890049e+01,nan,nan,nan,nan,nan
-1.889588958895889448e+01,nan,nan,nan,nan,nan
-1.889188918891889202e+01,nan,nan,nan,nan,nan
-1.888788878887888956e+01,nan,nan,nan,nan,nan
-1.888388838883888354e+01,nan,nan,nan,nan,nan
-1.887988798879888108e+01,nan,nan,nan,nan,nan
-1.887588758875887507e+01,nan,nan,nan,nan,nan
-1.887188718871887261e+01,nan,nan,nan,nan,nan
-1.886788678867886659e+01,nan,nan,nan,nan,nan
-1.886388638863886413e+01,nan,nan,nan,nan,nan
-1.885988598859886167e+01,nan,nan,nan,nan,nan
-1.885588558855885566e+01,nan,nan,nan,nan,nan
-1.885188518851885320e+01,nan,nan,nan,nan,nan
-1.884788478847884718e+01,nan,nan,nan,nan,nan
-1.884388438843884472e+01,nan,nan,nan,nan,nan
-1.883988398839883871e+01,nan,nan,nan,nan,nan
-1.883588358835883625e+01,nan,nan,nan,nan,nan
-1.883188318831883024e+01,nan,nan,nan,nan,nan
-1.882788278827882777e+01,nan,nan,nan,nan,nan
-1.882388238823882531e+01,nan,nan,nan,nan,nan
-1.881988198819881930e+01,nan,nan,nan,nan,nan
-1.881588158815881684e+01,nan,nan,nan,nan,nan
-1.881188118811881083e+01,nan,nan,nan,nan,nan
-1.880788078807880837e+01,nan,nan,nan,nan,nan
-1.880388038803880235e+01,nan,nan,nan,nan,nan
-1.879987998799879989e+01,nan,nan,nan,nan,nan
-1.879587958795879743e+01,nan,nan,nan,nan,nan
-1.879187918791879142e+01,nan,nan,nan,nan,nan
-1.878787878787878896e+01,nan,nan,nan,nan,nan
-1.878387838783878294e+01,nan,nan,nan,nan,nan
-1.877987798779878048e+01,nan,nan,nan,nan,nan
-1.877587758775877447e+01,nan,nan,nan,nan,nan
-1.877187718771877201e+01,nan,nan,nan,nan,nan
-1.876787678767876599e+01,nan,nan,nan,nan,nan
-1.876387638763876353e+01,nan,nan,nan,nan,nan
-1.875987598759876107e+01,nan,nan,nan,nan,nan
-1.875587558755875506e+01,nan,nan,nan,nan,nan
-1.875187518751875260e+01,nan,nan,nan,nan,nan
-1.874787478747874658e+01,nan,nan,nan,nan,nan
-1.874387438743874412e+01,nan,nan,nan,nan,nan
-1.873987398739873811e+01,nan,nan,nan,nan,nan
-1.873587358735873565e+01,nan,nan,nan,nan,nan
-1.873187318731873319e+01,nan,nan,nan,nan,nan
-1.872787278727872717e+01,nan,nan,nan,nan,nan
-1.872387238723872471e+01,nan,nan,nan,nan,nan
-1.871987198719871870e+01,nan,nan,nan,nan,nan
-1.871587158715871624e+01,nan,nan,nan,nan,nan
-1.871187118711871022e+01,nan,nan,nan,nan,nan
-1.870787078707870776e+01,nan,nan,nan,nan,nan
-1.870387038703870530e+01,nan,nan,nan,nan,nan
-1.869986998699869929e+01,nan,nan,nan,nan,nan
-1.869586958695869683e+01,nan,nan,nan,nan,nan
-1.869186918691869081e+01,nan,nan,nan,nan,nan
-1.868786878687868835e+01,nan,nan,nan,nan,nan
-1.868386838683868234e+01,nan,nan,nan,nan,nan
-1.867986798679867988e+01,nan,nan,nan,nan,nan
-1.867586758675867742e+01,nan,nan,nan,nan,nan
-1.867186718671867141e+01,nan,nan,nan,nan,nan
-1.866786678667866894e+01,nan,nan,nan,nan,nan
-1.866386638663866293e+01,nan,nan,nan,nan,nan
-1.865986598659866047e+01,nan,nan,nan,nan,nan
-1.865586558655865446e+01,nan,nan,nan,nan,nan
-1.865186518651865200e+01,nan,nan,nan,nan,nan
-1.864786478647864953e+01,nan,nan,nan,nan,nan
-1.864386438643864352e+01,nan,nan,nan,nan,nan
-1.863986398639864106e+01,nan,nan,nan,nan,nan
-1.863586358635863505e+01,nan,nan,nan,nan,nan
-1.863186318631863259e+01,nan,nan,nan,nan,nan
-1.862786278627862657e+01,nan,nan,nan,nan,nan
-1.862386238623862411e+01,nan,nan,nan,nan,nan
-1.861986198619862165e+01,nan,nan,nan,nan,nan
-1.861586158615861564e+01,nan,nan,nan,nan,nan
-1.861186118611861318e+01,nan,nan,nan,nan,nan
-1.860786078607860716e+01,nan,nan,nan,nan,nan
-1.860386038603860470e+01,nan,nan,nan,nan,nan
-1.859985998599859869e+01,nan,nan,nan,nan,nan
-1.859585958595859623e+01,nan,nan,nan,nan,nan
-1.859185918591859021e+01,nan,nan,nan,nan,nan
-1.858785878587858775e+01,nan,nan,nan,nan,nan
-1.858385838583858529e+01,nan,nan,nan,nan,nan
